RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  212  217     0     0  con    0  1.0D+00  2.0D-01  3.283D-03  1.236D+01
  213  218     0     0  con    0  1.0D+00  4.6D-01  6.497D-03  1.236D+01
  214  219     0     0  con    0  1.0D+00  4.5D-01  7.119D-03  1.235D+01
  215  220     0     0  con    0  1.0D+00  9.7D-01  6.575D-03  1.235D+01
  216  221     0     0  con    0  1.0D+00  1.8D+00  1.244D-02  1.234D+01
  217  222     0     0  con    0  1.0D+00  4.7D-01  3.661D-03  1.233D+01
  218  223     0     0  con    0  1.0D+00  3.0D-01  2.789D-03  1.233D+01
  219  224     0     0  con    0  1.0D+00  3.7D-01  3.098D-03  1.233D+01
  220  225     0     0  con    0  1.0D+00  3.7D-01  4.649D-03  1.233D+01
  221  226     0     0  con    0  1.0D+00  5.9D-01  6.468D-03  1.232D+01
  222  227     0     0  con    0  1.0D+00  9.7D-01  8.514D-03  1.231D+01
  223  228     0     0  con    0  1.0D+00  1.6D+00  6.565D-03  1.231D+01
  224  229     0     0  con    0  1.0D+00  4.8D-01  4.141D-03  1.230D+01
  225  230     0     0  con    0  1.0D+00  4.5D-01  3.710D-03  1.230D+01
  226  231     0     0  con    0  1.0D+00  6.7D-01  3.822D-03  1.230D+01
  227  232     0     0  con    0  1.0D+00  6.6D-01  7.629D-03  1.229D+01
  228  233     0     0  con    0  1.0D+00  4.5D-01  3.652D-03  1.229D+01
  229  234     0     0  con    0  1.0D+00  3.8D-01  3.193D-03  1.229D+01
  230  235     0     0  con    0  1.0D+00  6.0D-01  4.641D-03  1.228D+01
  231  236     0     0  con    0  1.0D+00  8.2D-01  6.020D-03  1.228D+01
  232  237     0     0  con    0  1.0D+00  5.5D-01  3.347D-03  1.227D+01
  233  238     0     0  con    0  1.0D+00  4.2D-01  2.722D-03  1.227D+01
  234  239     0     0  con    0  1.0D+00  6.5D-01  3.869D-03  1.227D+01
  235  240     0     0  con    0  1.0D+00  4.0D-01  3.912D-03  1.226D+01
  236  241     0     0  con    0  1.0D+00  7.8D-01  4.293D-03  1.226D+01
  237  242     0     0  con    0  1.0D+00  1.1D+00  6.532D-03  1.226D+01
  238  243     0     0  con    0  1.0D+00  4.6D-01  3.288D-03  1.225D+01
  239  244     0     0  con    0  1.0D+00  6.2D-01  3.442D-03  1.225D+01
  240  245     0     0  con    0  1.0D+00  7.3D-01  3.875D-03  1.225D+01
  241  247     0     0  con    1  4.9D-01  8.1D-01  5.789D-03  1.224D+01
  242  248     0     0  con    0  1.0D+00  3.8D-01  3.385D-03  1.224D+01
  243  249     0     0  con    0  1.0D+00  7.5D-01  2.860D-03  1.224D+01
  244  250     0     0  con    0  1.0D+00  8.6D-01  3.981D-03  1.223D+01
  245  251     0     0  con    0  1.0D+00  5.7D-01  4.920D-03  1.223D+01
